
(Data Type);Date;Day;DayOfWeek;DayOfYear;Hour;Kind;Millisecond;Minute;Month;Second;Ticks;TimeOfDay;Year
DateTime;23.02.2020;23;Sunday;54;0;Unspecified;0;0;2;0;637180128000000000;00:00:00;2020
DateTime;24.02.2020;24;Monday;55;0;Unspecified;0;0;2;0;637180992000000000;00:00:00;2020
DateTime;29.02.2020;29;Saturday;60;0;Unspecified;0;0;2;0;637185312000000000;00:00:00;2020
DateTime;01.03.2020;1;Sunday;61;0;Unspecified;0;0;3;0;637186176000000000;00:00:00;2020
DateTime;07.03.2020;7;Saturday;67;0;Unspecified;0;0;3;0;637191360000000000;00:00:00;2020
DateTime;08.03.2020;8;Sunday;68;0;Unspecified;0;0;3;0;637192224000000000;00:00:00;2020
DateTime;09.03.2020;9;Monday;69;0;Unspecified;0;0;3;0;637193088000000000;00:00:00;2020
DateTime;14.03.2020;14;Saturday;74;0;Unspecified;0;0;3;0;637197408000000000;00:00:00;2020
DateTime;15.03.2020;15;Sunday;75;0;Unspecified;0;0;3;0;637198272000000000;00:00:00;2020
DateTime;21.03.2020;21;Saturday;81;0;Unspecified;0;0;3;0;637203456000000000;00:00:00;2020
DateTime;22.03.2020;22;Sunday;82;0;Unspecified;0;0;3;0;637204320000000000;00:00:00;2020
DateTime;28.03.2020;28;Saturday;88;0;Unspecified;0;0;3;0;637209504000000000;00:00:00;2020
DateTime;29.03.2020;29;Sunday;89;0;Unspecified;0;0;3;0;637210368000000000;00:00:00;2020
DateTime;30.03.2020;30;Monday;90;0;Unspecified;0;0;3;0;637211232000000000;00:00:00;2020
DateTime;31.03.2020;31;Tuesday;91;0;Unspecified;0;0;3;0;637212096000000000;00:00:00;2020
DateTime;01.04.2020;1;Wednesday;92;0;Unspecified;0;0;4;0;637212960000000000;00:00:00;2020
DateTime;02.04.2020;2;Thursday;93;0;Unspecified;0;0;4;0;637213824000000000;00:00:00;2020
DateTime;03.04.2020;3;Friday;94;0;Unspecified;0;0;4;0;637214688000000000;00:00:00;2020
DateTime;04.04.2020;4;Saturday;95;0;Unspecified;0;0;4;0;637215552000000000;00:00:00;2020
DateTime;05.04.2020;5;Sunday;96;0;Unspecified;0;0;4;0;637216416000000000;00:00:00;2020
DateTime;06.04.2020;6;Monday;97;0;Unspecified;0;0;4;0;637217280000000000;00:00:00;2020
DateTime;07.04.2020;7;Tuesday;98;0;Unspecified;0;0;4;0;637218144000000000;00:00:00;2020
DateTime;08.04.2020;8;Wednesday;99;0;Unspecified;0;0;4;0;637219008000000000;00:00:00;2020
DateTime;09.04.2020;9;Thursday;100;0;Unspecified;0;0;4;0;637219872000000000;00:00:00;2020
DateTime;10.04.2020;10;Friday;101;0;Unspecified;0;0;4;0;637220736000000000;00:00:00;2020
DateTime;11.04.2020;11;Saturday;102;0;Unspecified;0;0;4;0;637221600000000000;00:00:00;2020
DateTime;12.04.2020;12;Sunday;103;0;Unspecified;0;0;4;0;637222464000000000;00:00:00;2020
DateTime;13.04.2020;13;Monday;104;0;Unspecified;0;0;4;0;637223328000000000;00:00:00;2020
DateTime;14.04.2020;14;Tuesday;105;0;Unspecified;0;0;4;0;637224192000000000;00:00:00;2020
DateTime;15.04.2020;15;Wednesday;106;0;Unspecified;0;0;4;0;637225056000000000;00:00:00;2020
DateTime;16.04.2020;16;Thursday;107;0;Unspecified;0;0;4;0;637225920000000000;00:00:00;2020
DateTime;17.04.2020;17;Friday;108;0;Unspecified;0;0;4;0;637226784000000000;00:00:00;2020
DateTime;18.04.2020;18;Saturday;109;0;Unspecified;0;0;4;0;637227648000000000;00:00:00;2020
DateTime;19.04.2020;19;Sunday;110;0;Unspecified;0;0;4;0;637228512000000000;00:00:00;2020
DateTime;20.04.2020;20;Monday;111;0;Unspecified;0;0;4;0;637229376000000000;00:00:00;2020
DateTime;21.04.2020;21;Tuesday;112;0;Unspecified;0;0;4;0;637230240000000000;00:00:00;2020
DateTime;22.04.2020;22;Wednesday;113;0;Unspecified;0;0;4;0;637231104000000000;00:00:00;2020
DateTime;23.04.2020;23;Thursday;114;0;Unspecified;0;0;4;0;637231968000000000;00:00:00;2020
DateTime;24.04.2020;24;Friday;115;0;Unspecified;0;0;4;0;637232832000000000;00:00:00;2020
DateTime;25.04.2020;25;Saturday;116;0;Unspecified;0;0;4;0;637233696000000000;00:00:00;2020
DateTime;26.04.2020;26;Sunday;117;0;Unspecified;0;0;4;0;637234560000000000;00:00:00;2020
DateTime;27.04.2020;27;Monday;118;0;Unspecified;0;0;4;0;637235424000000000;00:00:00;2020
DateTime;28.04.2020;28;Tuesday;119;0;Unspecified;0;0;4;0;637236288000000000;00:00:00;2020
DateTime;29.04.2020;29;Wednesday;120;0;Unspecified;0;0;4;0;637237152000000000;00:00:00;2020
DateTime;30.04.2020;30;Thursday;121;0;Unspecified;0;0;4;0;637238016000000000;00:00:00;2020
DateTime;01.05.2020;1;Friday;122;0;Unspecified;0;0;5;0;637238880000000000;00:00:00;2020
DateTime;02.05.2020;2;Saturday;123;0;Unspecified;0;0;5;0;637239744000000000;00:00:00;2020
DateTime;03.05.2020;3;Sunday;124;0;Unspecified;0;0;5;0;637240608000000000;00:00:00;2020
DateTime;04.05.2020;4;Monday;125;0;Unspecified;0;0;5;0;637241472000000000;00:00:00;2020
DateTime;05.05.2020;5;Tuesday;126;0;Unspecified;0;0;5;0;637242336000000000;00:00:00;2020
DateTime;06.05.2020;6;Wednesday;127;0;Unspecified;0;0;5;0;637243200000000000;00:00:00;2020
DateTime;07.05.2020;7;Thursday;128;0;Unspecified;0;0;5;0;637244064000000000;00:00:00;2020
DateTime;08.05.2020;8;Friday;129;0;Unspecified;0;0;5;0;637244928000000000;00:00:00;2020
DateTime;09.05.2020;9;Saturday;130;0;Unspecified;0;0;5;0;637245792000000000;00:00:00;2020
DateTime;10.05.2020;10;Sunday;131;0;Unspecified;0;0;5;0;637246656000000000;00:00:00;2020
DateTime;11.05.2020;11;Monday;132;0;Unspecified;0;0;5;0;637247520000000000;00:00:00;2020
DateTime;16.05.2020;16;Saturday;137;0;Unspecified;0;0;5;0;637251840000000000;00:00:00;2020
DateTime;17.05.2020;17;Sunday;138;0;Unspecified;0;0;5;0;637252704000000000;00:00:00;2020
DateTime;23.05.2020;23;Saturday;144;0;Unspecified;0;0;5;0;637257888000000000;00:00:00;2020
DateTime;24.05.2020;24;Sunday;145;0;Unspecified;0;0;5;0;637258752000000000;00:00:00;2020
DateTime;30.05.2020;30;Saturday;151;0;Unspecified;0;0;5;0;637263936000000000;00:00:00;2020
DateTime;31.05.2020;31;Sunday;152;0;Unspecified;0;0;5;0;637264800000000000;00:00:00;2020
DateTime;06.06.2020;6;Saturday;158;0;Unspecified;0;0;6;0;637269984000000000;00:00:00;2020
DateTime;07.06.2020;7;Sunday;159;0;Unspecified;0;0;6;0;637270848000000000;00:00:00;2020
DateTime;11.06.2020;11;Thursday;163;0;Unspecified;0;0;6;0;637274304000000000;00:00:00;2020
DateTime;12.06.2020;12;Friday;164;0;Unspecified;0;0;6;0;637275168000000000;00:00:00;2020
DateTime;13.06.2020;13;Saturday;165;0;Unspecified;0;0;6;0;637276032000000000;00:00:00;2020
DateTime;14.06.2020;14;Sunday;166;0;Unspecified;0;0;6;0;637276896000000000;00:00:00;2020
DateTime;20.06.2020;20;Saturday;172;0;Unspecified;0;0;6;0;637282080000000000;00:00:00;2020
DateTime;21.06.2020;21;Sunday;173;0;Unspecified;0;0;6;0;637282944000000000;00:00:00;2020
DateTime;24.06.2020;24;Wednesday;176;0;Unspecified;0;0;6;0;637285536000000000;00:00:00;2020
DateTime;27.06.2020;27;Saturday;179;0;Unspecified;0;0;6;0;637288128000000000;00:00:00;2020
DateTime;28.06.2020;28;Sunday;180;0;Unspecified;0;0;6;0;637288992000000000;00:00:00;2020
DateTime;01.07.2020;1;Wednesday;183;0;Unspecified;0;0;7;0;637291584000000000;00:00:00;2020
DateTime;04.07.2020;4;Saturday;186;0;Unspecified;0;0;7;0;637294176000000000;00:00:00;2020
DateTime;05.07.2020;5;Sunday;187;0;Unspecified;0;0;7;0;637295040000000000;00:00:00;2020
DateTime;11.07.2020;11;Saturday;193;0;Unspecified;0;0;7;0;637300224000000000;00:00:00;2020
DateTime;12.07.2020;12;Sunday;194;0;Unspecified;0;0;7;0;637301088000000000;00:00:00;2020
DateTime;18.07.2020;18;Saturday;200;0;Unspecified;0;0;7;0;637306272000000000;00:00:00;2020
DateTime;19.07.2020;19;Sunday;201;0;Unspecified;0;0;7;0;637307136000000000;00:00:00;2020
DateTime;25.07.2020;25;Saturday;207;0;Unspecified;0;0;7;0;637312320000000000;00:00:00;2020
DateTime;26.07.2020;26;Sunday;208;0;Unspecified;0;0;7;0;637313184000000000;00:00:00;2020
DateTime;01.08.2020;1;Saturday;214;0;Unspecified;0;0;8;0;637318368000000000;00:00:00;2020
DateTime;02.08.2020;2;Sunday;215;0;Unspecified;0;0;8;0;637319232000000000;00:00:00;2020
DateTime;08.08.2020;8;Saturday;221;0;Unspecified;0;0;8;0;637324416000000000;00:00:00;2020
DateTime;09.08.2020;9;Sunday;222;0;Unspecified;0;0;8;0;637325280000000000;00:00:00;2020
DateTime;15.08.2020;15;Saturday;228;0;Unspecified;0;0;8;0;637330464000000000;00:00:00;2020
DateTime;16.08.2020;16;Sunday;229;0;Unspecified;0;0;8;0;637331328000000000;00:00:00;2020
DateTime;22.08.2020;22;Saturday;235;0;Unspecified;0;0;8;0;637336512000000000;00:00:00;2020
DateTime;23.08.2020;23;Sunday;236;0;Unspecified;0;0;8;0;637337376000000000;00:00:00;2020
DateTime;29.08.2020;29;Saturday;242;0;Unspecified;0;0;8;0;637342560000000000;00:00:00;2020
DateTime;30.08.2020;30;Sunday;243;0;Unspecified;0;0;8;0;637343424000000000;00:00:00;2020
DateTime;05.09.2020;5;Saturday;249;0;Unspecified;0;0;9;0;637348608000000000;00:00:00;2020
DateTime;06.09.2020;6;Sunday;250;0;Unspecified;0;0;9;0;637349472000000000;00:00:00;2020
DateTime;12.09.2020;12;Saturday;256;0;Unspecified;0;0;9;0;637354656000000000;00:00:00;2020
DateTime;13.09.2020;13;Sunday;257;0;Unspecified;0;0;9;0;637355520000000000;00:00:00;2020
DateTime;19.09.2020;19;Saturday;263;0;Unspecified;0;0;9;0;637360704000000000;00:00:00;2020
DateTime;20.09.2020;20;Sunday;264;0;Unspecified;0;0;9;0;637361568000000000;00:00:00;2020
DateTime;26.09.2020;26;Saturday;270;0;Unspecified;0;0;9;0;637366752000000000;00:00:00;2020
DateTime;27.09.2020;27;Sunday;271;0;Unspecified;0;0;9;0;637367616000000000;00:00:00;2020
DateTime;03.10.2020;3;Saturday;277;0;Unspecified;0;0;10;0;637372800000000000;00:00:00;2020
DateTime;04.10.2020;4;Sunday;278;0;Unspecified;0;0;10;0;637373664000000000;00:00:00;2020
DateTime;10.10.2020;10;Saturday;284;0;Unspecified;0;0;10;0;637378848000000000;00:00:00;2020
DateTime;11.10.2020;11;Sunday;285;0;Unspecified;0;0;10;0;637379712000000000;00:00:00;2020
DateTime;17.10.2020;17;Saturday;291;0;Unspecified;0;0;10;0;637384896000000000;00:00:00;2020
DateTime;18.10.2020;18;Sunday;292;0;Unspecified;0;0;10;0;637385760000000000;00:00:00;2020
DateTime;24.10.2020;24;Saturday;298;0;Unspecified;0;0;10;0;637390944000000000;00:00:00;2020
DateTime;25.10.2020;25;Sunday;299;0;Unspecified;0;0;10;0;637391808000000000;00:00:00;2020
DateTime;31.10.2020;31;Saturday;305;0;Unspecified;0;0;10;0;637396992000000000;00:00:00;2020
DateTime;01.11.2020;1;Sunday;306;0;Unspecified;0;0;11;0;637397856000000000;00:00:00;2020
DateTime;03.11.2020;3;Tuesday;308;0;Unspecified;0;0;11;0;637399584000000000;00:00:00;2020
DateTime;04.11.2020;4;Wednesday;309;0;Unspecified;0;0;11;0;637400448000000000;00:00:00;2020
DateTime;07.11.2020;7;Saturday;312;0;Unspecified;0;0;11;0;637403040000000000;00:00:00;2020
DateTime;08.11.2020;8;Sunday;313;0;Unspecified;0;0;11;0;637403904000000000;00:00:00;2020
DateTime;14.11.2020;14;Saturday;319;0;Unspecified;0;0;11;0;637409088000000000;00:00:00;2020
DateTime;15.11.2020;15;Sunday;320;0;Unspecified;0;0;11;0;637409952000000000;00:00:00;2020
DateTime;21.11.2020;21;Saturday;326;0;Unspecified;0;0;11;0;637415136000000000;00:00:00;2020
DateTime;22.11.2020;22;Sunday;327;0;Unspecified;0;0;11;0;637416000000000000;00:00:00;2020
DateTime;28.11.2020;28;Saturday;333;0;Unspecified;0;0;11;0;637421184000000000;00:00:00;2020
DateTime;29.11.2020;29;Sunday;334;0;Unspecified;0;0;11;0;637422048000000000;00:00:00;2020
DateTime;05.12.2020;5;Saturday;340;0;Unspecified;0;0;12;0;637427232000000000;00:00:00;2020
DateTime;06.12.2020;6;Sunday;341;0;Unspecified;0;0;12;0;637428096000000000;00:00:00;2020
DateTime;12.12.2020;12;Saturday;347;0;Unspecified;0;0;12;0;637433280000000000;00:00:00;2020
DateTime;13.12.2020;13;Sunday;348;0;Unspecified;0;0;12;0;637434144000000000;00:00:00;2020
DateTime;19.12.2020;19;Saturday;354;0;Unspecified;0;0;12;0;637439328000000000;00:00:00;2020
DateTime;20.12.2020;20;Sunday;355;0;Unspecified;0;0;12;0;637440192000000000;00:00:00;2020
DateTime;26.12.2020;26;Saturday;361;0;Unspecified;0;0;12;0;637445376000000000;00:00:00;2020
DateTime;27.12.2020;27;Sunday;362;0;Unspecified;0;0;12;0;637446240000000000;00:00:00;2020
DateTime;31.12.2020;31;Thursday;366;0;Unspecified;0;0;12;0;637449696000000000;00:00:00;2020
DateTime;01.01.2021;1;Friday;1;0;Unspecified;0;0;1;0;637450560000000000;00:00:00;2021
DateTime;02.01.2021;2;Saturday;2;0;Unspecified;0;0;1;0;637451424000000000;00:00:00;2021
DateTime;03.01.2021;3;Sunday;3;0;Unspecified;0;0;1;0;637452288000000000;00:00:00;2021
DateTime;04.01.2021;4;Monday;4;0;Unspecified;0;0;1;0;637453152000000000;00:00:00;2021
DateTime;05.01.2021;5;Tuesday;5;0;Unspecified;0;0;1;0;637454016000000000;00:00:00;2021
DateTime;06.01.2021;6;Wednesday;6;0;Unspecified;0;0;1;0;637454880000000000;00:00:00;2021
DateTime;07.01.2021;7;Thursday;7;0;Unspecified;0;0;1;0;637455744000000000;00:00:00;2021
DateTime;08.01.2021;8;Friday;8;0;Unspecified;0;0;1;0;637456608000000000;00:00:00;2021
DateTime;09.01.2021;9;Saturday;9;0;Unspecified;0;0;1;0;637457472000000000;00:00:00;2021
DateTime;10.01.2021;10;Sunday;10;0;Unspecified;0;0;1;0;637458336000000000;00:00:00;2021
DateTime;16.01.2021;16;Saturday;16;0;Unspecified;0;0;1;0;637463520000000000;00:00:00;2021
DateTime;17.01.2021;17;Sunday;17;0;Unspecified;0;0;1;0;637464384000000000;00:00:00;2021
DateTime;23.01.2021;23;Saturday;23;0;Unspecified;0;0;1;0;637469568000000000;00:00:00;2021
DateTime;24.01.2021;24;Sunday;24;0;Unspecified;0;0;1;0;637470432000000000;00:00:00;2021
DateTime;30.01.2021;30;Saturday;30;0;Unspecified;0;0;1;0;637475616000000000;00:00:00;2021
DateTime;31.01.2021;31;Sunday;31;0;Unspecified;0;0;1;0;637476480000000000;00:00:00;2021
DateTime;06.02.2021;6;Saturday;37;0;Unspecified;0;0;2;0;637481664000000000;00:00:00;2021
DateTime;07.02.2021;7;Sunday;38;0;Unspecified;0;0;2;0;637482528000000000;00:00:00;2021
DateTime;13.02.2021;13;Saturday;44;0;Unspecified;0;0;2;0;637487712000000000;00:00:00;2021
DateTime;14.02.2021;14;Sunday;45;0;Unspecified;0;0;2;0;637488576000000000;00:00:00;2021
DateTime;20.02.2021;20;Saturday;51;0;Unspecified;0;0;2;0;637493760000000000;00:00:00;2021
DateTime;21.02.2021;21;Sunday;52;0;Unspecified;0;0;2;0;637494624000000000;00:00:00;2021
DateTime;22.02.2021;22;Monday;53;0;Unspecified;0;0;2;0;637495488000000000;00:00:00;2021
DateTime;23.02.2021;23;Tuesday;54;0;Unspecified;0;0;2;0;637496352000000000;00:00:00;2021
DateTime;27.02.2021;27;Saturday;58;0;Unspecified;0;0;2;0;637499808000000000;00:00:00;2021
DateTime;28.02.2021;28;Sunday;59;0;Unspecified;0;0;2;0;637500672000000000;00:00:00;2021
DateTime;06.03.2021;6;Saturday;65;0;Unspecified;0;0;3;0;637505856000000000;00:00:00;2021
DateTime;07.03.2021;7;Sunday;66;0;Unspecified;0;0;3;0;637506720000000000;00:00:00;2021
DateTime;08.03.2021;8;Monday;67;0;Unspecified;0;0;3;0;637507584000000000;00:00:00;2021
DateTime;13.03.2021;13;Saturday;72;0;Unspecified;0;0;3;0;637511904000000000;00:00:00;2021
DateTime;14.03.2021;14;Sunday;73;0;Unspecified;0;0;3;0;637512768000000000;00:00:00;2021
DateTime;20.03.2021;20;Saturday;79;0;Unspecified;0;0;3;0;637517952000000000;00:00:00;2021
DateTime;21.03.2021;21;Sunday;80;0;Unspecified;0;0;3;0;637518816000000000;00:00:00;2021
DateTime;27.03.2021;27;Saturday;86;0;Unspecified;0;0;3;0;637524000000000000;00:00:00;2021
DateTime;28.03.2021;28;Sunday;87;0;Unspecified;0;0;3;0;637524864000000000;00:00:00;2021
DateTime;03.04.2021;3;Saturday;93;0;Unspecified;0;0;4;0;637530048000000000;00:00:00;2021
DateTime;04.04.2021;4;Sunday;94;0;Unspecified;0;0;4;0;637530912000000000;00:00:00;2021
DateTime;10.04.2021;10;Saturday;100;0;Unspecified;0;0;4;0;637536096000000000;00:00:00;2021
DateTime;11.04.2021;11;Sunday;101;0;Unspecified;0;0;4;0;637536960000000000;00:00:00;2021
DateTime;17.04.2021;17;Saturday;107;0;Unspecified;0;0;4;0;637542144000000000;00:00:00;2021
DateTime;18.04.2021;18;Sunday;108;0;Unspecified;0;0;4;0;637543008000000000;00:00:00;2021
DateTime;24.04.2021;24;Saturday;114;0;Unspecified;0;0;4;0;637548192000000000;00:00:00;2021
DateTime;25.04.2021;25;Sunday;115;0;Unspecified;0;0;4;0;637549056000000000;00:00:00;2021
DateTime;30.04.2021;30;Friday;120;0;Unspecified;0;0;4;0;637553376000000000;00:00:00;2021
DateTime;01.05.2021;1;Saturday;121;0;Unspecified;0;0;5;0;637554240000000000;00:00:00;2021
DateTime;02.05.2021;2;Sunday;122;0;Unspecified;0;0;5;0;637555104000000000;00:00:00;2021
DateTime;03.05.2021;3;Monday;123;0;Unspecified;0;0;5;0;637555968000000000;00:00:00;2021
DateTime;08.05.2021;8;Saturday;128;0;Unspecified;0;0;5;0;637560288000000000;00:00:00;2021
DateTime;09.05.2021;9;Sunday;129;0;Unspecified;0;0;5;0;637561152000000000;00:00:00;2021
DateTime;10.05.2021;10;Monday;130;0;Unspecified;0;0;5;0;637562016000000000;00:00:00;2021
DateTime;15.05.2021;15;Saturday;135;0;Unspecified;0;0;5;0;637566336000000000;00:00:00;2021
DateTime;16.05.2021;16;Sunday;136;0;Unspecified;0;0;5;0;637567200000000000;00:00:00;2021
DateTime;22.05.2021;22;Saturday;142;0;Unspecified;0;0;5;0;637572384000000000;00:00:00;2021
DateTime;23.05.2021;23;Sunday;143;0;Unspecified;0;0;5;0;637573248000000000;00:00:00;2021
DateTime;29.05.2021;29;Saturday;149;0;Unspecified;0;0;5;0;637578432000000000;00:00:00;2021
DateTime;30.05.2021;30;Sunday;150;0;Unspecified;0;0;5;0;637579296000000000;00:00:00;2021
DateTime;05.06.2021;5;Saturday;156;0;Unspecified;0;0;6;0;637584480000000000;00:00:00;2021
DateTime;06.06.2021;6;Sunday;157;0;Unspecified;0;0;6;0;637585344000000000;00:00:00;2021
DateTime;11.06.2021;11;Friday;162;0;Unspecified;0;0;6;0;637589664000000000;00:00:00;2021
DateTime;12.06.2021;12;Saturday;163;0;Unspecified;0;0;6;0;637590528000000000;00:00:00;2021
DateTime;13.06.2021;13;Sunday;164;0;Unspecified;0;0;6;0;637591392000000000;00:00:00;2021
DateTime;14.06.2021;14;Monday;165;0;Unspecified;0;0;6;0;637592256000000000;00:00:00;2021
DateTime;19.06.2021;19;Saturday;170;0;Unspecified;0;0;6;0;637596576000000000;00:00:00;2021
DateTime;20.06.2021;20;Sunday;171;0;Unspecified;0;0;6;0;637597440000000000;00:00:00;2021
DateTime;26.06.2021;26;Saturday;177;0;Unspecified;0;0;6;0;637602624000000000;00:00:00;2021
DateTime;27.06.2021;27;Sunday;178;0;Unspecified;0;0;6;0;637603488000000000;00:00:00;2021
DateTime;03.07.2021;3;Saturday;184;0;Unspecified;0;0;7;0;637608672000000000;00:00:00;2021
DateTime;04.07.2021;4;Sunday;185;0;Unspecified;0;0;7;0;637609536000000000;00:00:00;2021
DateTime;10.07.2021;10;Saturday;191;0;Unspecified;0;0;7;0;637614720000000000;00:00:00;2021
DateTime;11.07.2021;11;Sunday;192;0;Unspecified;0;0;7;0;637615584000000000;00:00:00;2021
DateTime;17.07.2021;17;Saturday;198;0;Unspecified;0;0;7;0;637620768000000000;00:00:00;2021
DateTime;18.07.2021;18;Sunday;199;0;Unspecified;0;0;7;0;637621632000000000;00:00:00;2021
DateTime;24.07.2021;24;Saturday;205;0;Unspecified;0;0;7;0;637626816000000000;00:00:00;2021
DateTime;25.07.2021;25;Sunday;206;0;Unspecified;0;0;7;0;637627680000000000;00:00:00;2021
DateTime;31.07.2021;31;Saturday;212;0;Unspecified;0;0;7;0;637632864000000000;00:00:00;2021
DateTime;01.08.2021;1;Sunday;213;0;Unspecified;0;0;8;0;637633728000000000;00:00:00;2021
DateTime;07.08.2021;7;Saturday;219;0;Unspecified;0;0;8;0;637638912000000000;00:00:00;2021
DateTime;08.08.2021;8;Sunday;220;0;Unspecified;0;0;8;0;637639776000000000;00:00:00;2021
DateTime;14.08.2021;14;Saturday;226;0;Unspecified;0;0;8;0;637644960000000000;00:00:00;2021
DateTime;15.08.2021;15;Sunday;227;0;Unspecified;0;0;8;0;637645824000000000;00:00:00;2021
DateTime;21.08.2021;21;Saturday;233;0;Unspecified;0;0;8;0;637651008000000000;00:00:00;2021
DateTime;22.08.2021;22;Sunday;234;0;Unspecified;0;0;8;0;637651872000000000;00:00:00;2021
DateTime;28.08.2021;28;Saturday;240;0;Unspecified;0;0;8;0;637657056000000000;00:00:00;2021
DateTime;29.08.2021;29;Sunday;241;0;Unspecified;0;0;8;0;637657920000000000;00:00:00;2021
DateTime;04.09.2021;4;Saturday;247;0;Unspecified;0;0;9;0;637663104000000000;00:00:00;2021
DateTime;05.09.2021;5;Sunday;248;0;Unspecified;0;0;9;0;637663968000000000;00:00:00;2021
DateTime;11.09.2021;11;Saturday;254;0;Unspecified;0;0;9;0;637669152000000000;00:00:00;2021
DateTime;12.09.2021;12;Sunday;255;0;Unspecified;0;0;9;0;637670016000000000;00:00:00;2021
DateTime;18.09.2021;18;Saturday;261;0;Unspecified;0;0;9;0;637675200000000000;00:00:00;2021
DateTime;19.09.2021;19;Sunday;262;0;Unspecified;0;0;9;0;637676064000000000;00:00:00;2021
DateTime;25.09.2021;25;Saturday;268;0;Unspecified;0;0;9;0;637681248000000000;00:00:00;2021
DateTime;26.09.2021;26;Sunday;269;0;Unspecified;0;0;9;0;637682112000000000;00:00:00;2021
DateTime;02.10.2021;2;Saturday;275;0;Unspecified;0;0;10;0;637687296000000000;00:00:00;2021
DateTime;03.10.2021;3;Sunday;276;0;Unspecified;0;0;10;0;637688160000000000;00:00:00;2021
DateTime;09.10.2021;9;Saturday;282;0;Unspecified;0;0;10;0;637693344000000000;00:00:00;2021
DateTime;10.10.2021;10;Sunday;283;0;Unspecified;0;0;10;0;637694208000000000;00:00:00;2021
DateTime;16.10.2021;16;Saturday;289;0;Unspecified;0;0;10;0;637699392000000000;00:00:00;2021
DateTime;17.10.2021;17;Sunday;290;0;Unspecified;0;0;10;0;637700256000000000;00:00:00;2021
DateTime;23.10.2021;23;Saturday;296;0;Unspecified;0;0;10;0;637705440000000000;00:00:00;2021
DateTime;24.10.2021;24;Sunday;297;0;Unspecified;0;0;10;0;637706304000000000;00:00:00;2021
DateTime;30.10.2021;30;Saturday;303;0;Unspecified;0;0;10;0;637711488000000000;00:00:00;2021
DateTime;31.10.2021;31;Sunday;304;0;Unspecified;0;0;10;0;637712352000000000;00:00:00;2021
DateTime;03.11.2021;3;Wednesday;307;0;Unspecified;0;0;11;0;637714944000000000;00:00:00;2021
DateTime;04.11.2021;4;Thursday;308;0;Unspecified;0;0;11;0;637715808000000000;00:00:00;2021
DateTime;05.11.2021;5;Friday;309;0;Unspecified;0;0;11;0;637716672000000000;00:00:00;2021
DateTime;06.11.2021;6;Saturday;310;0;Unspecified;0;0;11;0;637717536000000000;00:00:00;2021
DateTime;07.11.2021;7;Sunday;311;0;Unspecified;0;0;11;0;637718400000000000;00:00:00;2021
DateTime;13.11.2021;13;Saturday;317;0;Unspecified;0;0;11;0;637723584000000000;00:00:00;2021
DateTime;14.11.2021;14;Sunday;318;0;Unspecified;0;0;11;0;637724448000000000;00:00:00;2021
DateTime;20.11.2021;20;Saturday;324;0;Unspecified;0;0;11;0;637729632000000000;00:00:00;2021
DateTime;21.11.2021;21;Sunday;325;0;Unspecified;0;0;11;0;637730496000000000;00:00:00;2021
